City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,San Ignacio,BZ,77.14,light rain,17.1561,-89.0714,Rainforest Haven Inn
5,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
7,Mazatlan,MX,80.02,overcast clouds,23.2167,-106.4167,Hotel La Siesta
9,Cape Town,ZA,77.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
11,East London,ZA,76.14,few clouds,-33.0153,27.9116,Tu Casa
12,Buala,SB,81.68,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
17,Tura,IN,81.09,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
26,Victoria,HK,78.96,light rain,22.2855,114.1577,Mini Central
36,Atuona,PF,76.87,clear sky,-9.8,-139.0333,Villa Enata
41,Kununurra,AU,89.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
44,Anloga,GH,80.96,few clouds,5.7947,0.8973,Pin Drop Hotel
45,Dhidhdhoo,MV,80.74,overcast clouds,6.8833,73.1,Dhidhoo beach
51,Payakumbuh,ID,86.0,broken clouds,-0.2202,100.6308,Dalimo Homestay
58,Abdanan,IR,84.2,clear sky,32.9926,47.4198,خدمات موبایل میرزایی
63,Port Elizabeth,ZA,81.1,mist,-33.918,25.5701,39 On Nile Guest House
65,Miram Shah,PK,78.73,clear sky,33.0086,70.0697,Bachelor Hostel
73,Alice Springs,AU,80.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
74,Bengkulu,ID,80.71,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
84,Faanui,PF,77.34,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
86,Lazaro Cardenas,MX,76.37,moderate rain,17.9583,-102.2,HOTEL QUINTA ANTIGUA
87,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
93,Nacala,MZ,83.52,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
96,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
101,Gibara,CU,76.35,broken clouds,21.1097,-76.1317,Sol y Mar
106,Tshikapa,CD,85.42,broken clouds,-6.4167,20.8,Tatem beach
109,Garowe,SO,86.32,scattered clouds,8.4054,48.4845,Curubo Hotel
111,Hithadhoo,MV,81.16,overcast clouds,-0.6,73.0833,Scoop Guest House
112,Kavaratti,IN,79.54,broken clouds,10.5669,72.642,Green leaf
113,Ron Phibun,TH,85.69,light rain,8.1791,99.8542,Villa One Homestay&Camping
