City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Anchorage,US,2022-10-15 05:55:51,61.2181,-149.9003,36.63,63,86,11.01
1,Dzhebariki-Khaya,RU,2022-10-15 05:59:16,62.2167,135.8,27.48,87,93,1.16
2,Lagoa,PT,2022-10-15 05:59:17,39.05,-27.9833,65.93,67,100,8.9
3,Qaanaaq,GL,2022-10-15 05:54:44,77.484,-69.3632,16.95,86,100,11.61
4,Busselton,AU,2022-10-15 05:59:17,-33.65,115.3333,63.34,54,24,11.05
5,Rikitea,PF,2022-10-15 05:57:24,-23.1203,-134.9692,72.54,82,1,8.95
6,Beloha,MG,2022-10-15 05:59:18,-25.1667,45.05,82.67,47,0,6.78
7,Pisco,PE,2022-10-15 05:49:54,-13.7,-76.2167,59.05,82,7,4.61
8,Bandarbeyla,SO,2022-10-15 05:59:18,9.4942,50.8122,83.46,64,14,14.72
9,Yenagoa,NG,2022-10-15 05:59:19,4.9247,6.2642,72.81,92,99,2.66
10,Avarua,CK,2022-10-15 05:49:51,-21.2078,-159.775,73.45,88,4,4.61
11,Half Moon Bay,US,2022-10-15 05:59:19,37.4636,-122.4286,60.89,92,100,6.91
12,Wadi Musa,JO,2022-10-15 05:59:19,30.3222,35.4793,63.97,52,66,0.94
13,Saldanha,ZA,2022-10-15 05:59:20,-33.0117,17.9442,59.05,78,75,14.58
14,Peniche,PT,2022-10-15 05:59:20,39.3558,-9.3811,63.28,94,16,8.48
15,Cape Town,ZA,2022-10-15 05:57:07,-33.9258,18.4232,66.38,74,20,16.11
16,Atuona,PF,2022-10-15 05:54:57,-9.8,-139.0333,76.96,79,17,18.28
17,Saint George,US,2022-10-15 05:59:21,37.1041,-113.5841,70.79,21,0,1.01
18,Hithadhoo,MV,2022-10-15 05:59:21,-0.6,73.0833,82.56,69,39,14.85
19,Torbay,CA,2022-10-15 05:59:21,47.6666,-52.7314,47.5,95,40,9.22
20,San Patricio,US,2022-10-15 05:58:39,28.017,-97.5169,80.83,76,19,10.16
21,Jamestown,US,2022-10-15 05:55:10,42.097,-79.2353,49.71,54,0,5.75
